season,team,rank_change,fpi_change,record_before,fpi_before,rank_before,trend_before,wayback_timestamp_before,conference_before,record_after,fpi_after,rank_after,trend_after,wayback_timestamp_after,conference_after
2023,New Mexico State Aggies,14,3.6999999999999993,0-1,-17,133,5,20230830055751,CUSA,1-1,-13.3,119,9,20230905092550,CUSA
2021,South Alabama Jaguars,14,4.1,0-0,-13.6,118,1,20210904141614,Sun Belt,1-0,-9.5,104,15,20210908031230,Sun Belt
2022,Tennessee Volunteers,14,5,0-0,9.8,24,0,20220901143719,SEC,1-0,14.8,10,0,20220906040030,SEC
2022,Air Force Falcons,13,3.1,0-0,-1.3,73,0,20220901143719,Mountain West,1-0,1.8,60,0,20220906040030,Mountain West
2022,Baylor Bears,13,4.799999999999999,0-0,10.9,21,0,20220901143719,Big 12,1-0,15.7,8,0,20220906040030,Big 12
2022,Coastal Carolina Chanticleers,13,2.6999999999999997,0-0,-3.3,86,0,20220901143719,Sun Belt,1-0,-0.6,73,0,20220906040030,Sun Belt
2021,Middle Tennessee Blue Raiders,13,2.9000000000000004,0-0,-8.5,103,1,20210904141614,C-USA,1-0,-5.6,90,14,20210908031230,C-USA
2022,TCU Horned Frogs,13,3.4000000000000004,0-0,6.1,42,0,20220901143719,Big 12,1-0,9.5,29,0,20220906040030,Big 12
2021,Troy Trojans,13,4.1,0-0,-1.8,75,1,20210904141614,Sun Belt,1-0,2.3,62,12,20210908031230,Sun Belt
2022,East Carolina Pirates,12,1.7,0-0,-1.9,79,0,20220901143719,American,0-1,-0.2,67,0,20220906040030,American
2021,Nevada Wolf Pack,12,2.6000000000000005,0-0,-4.9,88,0,20210904141614,Mountain West,1-0,-2.3,76,12,20210908031230,Mountain West
2021,SMU Mustangs,12,2.1999999999999997,0-0,3.4,50,0,20210904141614,American,1-0,5.6,38,12,20210908031230,American
2023,Syracuse Orange,12,3.3999999999999995,0-0,7.2,39,0,20230830055751,ACC,1-0,10.6,27,12,20230905092550,ACC
2023,Wyoming Cowboys,12,2.4000000000000004,0-0,-5.7,89,0,20230830055751,Mountain West,1-0,-3.3,77,12,20230905092550,Mountain West
2021,Iowa Hawkeyes,11,2.8999999999999986,0-0,8.8,27,3,20210904141614,Big Ten,1-0,11.7,16,8,20210908031230,Big Ten
2022,Kansas Jayhawks,11,3,0-0,-8.5,104,0,20220901143719,Big 12,1-0,-5.5,93,0,20220906040030,Big 12
2022,Missouri Tigers,11,2.9999999999999996,0-0,2.1,57,0,20220901143719,SEC,1-0,5.1,46,0,20220906040030,SEC
2022,Texas Tech Red Raiders,11,2.8999999999999995,0-0,4.4,49,0,20220901143719,Big 12,1-0,7.3,38,0,20220906040030,Big 12
2022,UAB Blazers,11,2.5999999999999996,0-0,0.2,65,0,20220901143719,C-USA,1-0,2.8,54,0,20220906040030,C-USA
